X[mm]	Y[mm]	IBx[G.cm]	IBy[G.cm]	IBz[G.cm]
3.	3.	6.028749	-95.47352421	1.033844568e-10
4.	3.	7.934874979	-93.06360972	-1.294707073e-10
5.	3.	9.748549964	-90.00695397	4.020905885e-10
6.	3.	11.4427391	-86.33743435	-1.724172041e-10
7.	3.	12.98901866	-82.09883313	4.896377986e-11
8.	3.	14.35846622	-77.34563773	3.369823898e-10
9.	3.	15.52304995	-72.14340692	3.481670651e-10
10.	3.	16.45742275	-66.56846588	1.973456277e-10
-10.	4.	-22.33185492	-67.52705594	-9.288694437e-11
-9.	4.	-21.05431065	-73.38758229	7.415590092e-12
-8.	4.	-19.46253729	-78.84682972	7.519506105e-12
-7.	4.	-17.59340194	-83.82424343	4.914535713e-10
-6.	4.	-15.4870301	-88.25245044	-4.475979188e-10
-5.	4.	-13.18412171	-92.07713064	-4.397625299e-10
-4.	4.	-10.72395245	-95.25604004	4.306343458e-10
-3.	4.	-8.143180139	-97.75755758	-2.664456354e-11
-2.	4.	-5.475422164	-99.55910264	-6.640550011e-11
-1.	4.	-2.751474024	-100.6456911	2.881416667e-10
0.	4.	-2.747694449e-9	-101.0088066	-2.572818097e-10
1.	4.	2.751474021	-100.6456911	3.611374263e-10
2.	4.	5.475422162	-99.5591026	2.597943437e-10
3.	4.	8.143180136	-97.75755759	4.192020905e-10
4.	4.	10.72395245	-95.25604007	-1.43408081e-10
5.	4.	13.18412171	-92.07713067	3.619471167e-10
6.	4.	15.4870301	-88.25245041	6.039774871e-10
7.	4.	17.59340193	-83.82424341	-4.098148172e-10
8.	4.	19.4625373	-78.84682974	-8.035128664e-11
9.	4.	21.05431064	-73.38758229	-5.093727513e-10
10.	4.	22.33185491	-67.52705597	7.810062341e-11
-10.	5.	-28.55262585	-68.79579922	3.386700599e-10
-9.	5.	-26.90085637	-75.03501164	4.308536609e-10
-8.	5.	-24.84450156	-80.8319968	-2.57727994e-10
-7.	5.	-22.43509713	-86.10097126	6.855441931e-10
-6.	5.	-19.72759687	-90.77293039	-3.759302825e-10
-5.	5.	-16.77649592	-94.79476317	-7.43574768e-10
-4.	5.	-13.6331081	-98.12727614	7.230721644e-10
-3.	5.	-10.3441134	-100.7427316	5.552018895e-10
-2.	5.	-6.951240924	-102.6224036	1.027294444e-9
-1.	5.	-3.491830946	-103.754485	-3.041883677e-10
0.	5.	-2.769730213e-9	-104.1325266	1.14393553e-9
1.	5.	3.491830942	-103.7544849	-1.355756638e-9
2.	5.	6.951240917	-102.6224036	7.49310519e-10
3.	5.	10.34411339	-100.7427316	8.037574685e-10
4.	5.	13.6331081	-98.12727611	2.331998596e-10
5.	5.	16.7764959	-94.79476316	2.926135958e-10
6.	5.	19.72759685	-90.7729304	-8.256329675e-10
7.	5.	22.43509714	-86.10097126	2.067650664e-10
8.	5.	24.84450157	-80.83199682	-2.674857248e-10
9.	5.	26.90085637	-75.0350116	9.559989452e-10
10.	5.	28.55262585	-68.79579926	5.149287814e-10
-10.	6.	-35.22363285	-70.40714741	-6.139684545e-10
-9.	6.	-33.15332088	-77.1273071	7.599751782e-10
-8.	6.	-30.58006344	-83.34792959	7.233331407e-10
-7.	6.	-27.57477753	-88.97730559	-2.252431211e-10
-6.	6.	-24.21119723	-93.94578072	4.218761778e-10
-5.	6.	-20.56035222	-98.20353488	1.111452878e-10
-4.	6.	-16.68702087	-101.7169724	-8.317669036e-10
-3.	6.	-12.64817621	-104.4647384	-1.319835959e-10
-2.	6.	-8.49304996	-106.4340823	-6.346322323e-10
-1.	6.	-4.264321682	-107.6179466	-1.203128898e-9
0.	6.	-3.245616607e-9	-108.0129046	4.460917838e-10
1.	6.	4.264321672	-107.6179467	6.816687257e-10
2.	6.	8.493049947	-106.4340822	-2.411146623e-11
3.	6.	12.64817622	-104.4647383	-1.030921932e-9
4.	6.	16.68702086	-101.7169725	-1.212613527e-9
5.	6.	20.56035222	-98.20353493	-3.922883437e-10
6.	6.	24.2111972	-93.94578074	-1.698352508e-10
7.	6.	27.57477754	-88.97730559	7.221632479e-10
8.	6.	30.58006342	-83.34792959	-1.669925784e-10
9.	6.	33.15332088	-77.12730708	1.049801977e-10
10.	6.	35.22363285	-70.40714744	5.601200804e-10
-10.	7.	-42.46164309	-72.40756576	1.977587808e-10
-9.	7.	-39.91033746	-79.72278343	1.175313432e-9
-8.	7.	-36.74808262	-86.45876565	4.171181271e-10
-7.	7.	-33.0722429	-92.51779678	-2.393663374e-10
-6.	7.	-28.98096261	-97.8319764	1.435171175e-9
-5.	7.	-24.56534832	-102.3585636	1.405630164e-10
-4.	7.	-19.90512556	-106.0736648	1.078686807e-9
-3.	7.	-15.0674099	-108.9660033	2.405353559e-10
-2.	7.	-10.10767251	-111.0317335	6.97943874e-10
-1.	7.	-5.071999057	-112.2706068	2.680027034e-10
